version,date,diff,field_check_m,logger_val_m,Site_ID
original_depth,2023-10-30T00:00:00Z,0.09271223585925475,0.38,0.28728776414074525,14/9_601
original_depth,2024-04-15T00:00:00Z,0.07635466427957693,0.39,0.3136453357204231,14/9_601
depth_avg,2021-10-08T00:00:00Z,0.46285699389580615,0.47,0.007143006104193837,14/9_601
depth_avg,2022-10-17T00:00:00Z,0.4171561931793166,0.31,-0.10715619317931661,14/9_601
depth_avg,2023-10-30T00:00:00Z,0.3793789025259214,0.38,6.210974740786415e-4,14/9_601
depth_avg,2024-04-15T00:00:00Z,0.3630213309462435,0.39,0.026978669053756534,14/9_601
revised_depth,2021-10-08T00:00:00Z,0.08619032722913944,0.47,0.38380967277086053,14/9_601
revised_depth,2022-10-17T00:00:00Z,0.04048952651264992,0.31,0.2695104734873501,14/9_601
revised_depth,2023-10-30T00:00:00Z,0.0027122358592546747,0.38,0.37728776414074533,14/9_601
revised_depth,2024-04-15T00:00:00Z,-0.013645335720423202,0.39,0.4036453357204232,14/9_601
original_depth,2021-09-27T00:00:00Z,NA,0.276,NA,14_115
original_depth,2021-10-08T00:00:00Z,0.06362390724781468,0.18,0.11637609275218531,14_115
original_depth,2023-11-10T00:00:00Z,0.9961661283928628,0.93,-0.06616612839286273,14_115
original_depth,2024-04-15T00:00:00Z,0.023460170556704768,0.15,0.12653982944329523,14_115
depth_avg,2021-09-27T00:00:00Z,NA,0.276,NA,14_115
depth_avg,2021-10-08T00:00:00Z,0.076957240581148,0.18,0.10304275941885199,14_115
depth_avg,2023-11-10T00:00:00Z,1.009499461726196,0.93,-0.0794994617261961,14_115
depth_avg,2024-04-15T00:00:00Z,-0.0032064961099619316,0.15,0.15320649610996193,14_115
revised_depth,2021-09-27T00:00:00Z,NA,0.276,NA,14_115
revised_depth,2021-10-08T00:00:00Z,0.06362390724781469,0.18,0.1163760927521853,14_115
revised_depth,2023-11-10T00:00:00Z,0.9961661283928629,0.93,-0.06616612839286279,14_115
revised_depth,2024-04-15T00:00:00Z,-0.01653982944329524,0.15,0.16653982944329523,14_115
original_depth,2021-12-08T00:00:00Z,0.27941883338312123,0.84,0.5605811666168787,14_15
original_depth,2022-10-19T00:00:00Z,0.030022568984531817,0.38,0.3499774310154682,14_15
original_depth,2023-11-10T00:00:00Z,0.014202917951290472,0.63,0.6157970820487095,14_15
original_depth,2024-04-22T00:00:00Z,0.01826498939711174,0.76,0.7417350106028883,14_15
depth_avg,2021-12-08T00:00:00Z,0.3360855000497891,0.84,0.5039144999502109,14_15
depth_avg,2022-10-19T00:00:00Z,0.08668923565119852,0.38,0.2933107643488015,14_15
depth_avg,2023-11-10T00:00:00Z,-0.019130415382042743,0.63,0.6491304153820427,14_15
depth_avg,2024-04-22T00:00:00Z,-0.0050683439362217975,0.76,0.7650683439362218,14_15
revised_depth,2021-12-08T00:00:00Z,0.27941883338312234,0.84,0.5605811666168776,14_15
revised_depth,2022-10-19T00:00:00Z,0.030022568984531817,0.38,0.3499774310154682,14_15
revised_depth,2023-11-10T00:00:00Z,-0.0757970820487095,0.63,0.7057970820487095,14_15
revised_depth,2024-04-22T00:00:00Z,-0.06173501060288844,0.76,0.8217350106028884,14_15
original_depth,2023-11-10T00:00:00Z,0.01619740087965016,-0.75,-0.7661974008796502,14_418
depth_avg,2023-11-10T00:00:00Z,0.02286406754631698,-0.75,-0.772864067546317,14_418
revised_depth,2023-11-10T00:00:00Z,-0.003802599120349748,-0.75,-0.7461974008796503,14_418
original_depth,2021-09-27T00:00:00Z,NA,0.27399999999999997,NA,14_500
original_depth,2021-12-13T00:00:00Z,0.06565069935334672,0.26,0.1943493006466533,14_500
original_depth,2022-10-17T00:00:00Z,-0.003565357565497529,0.18,0.18356535756549752,14_500
original_depth,2023-11-10T00:00:00Z,0.043707410142092964,0.09,0.04629258985790703,14_500
original_depth,2024-04-09T00:00:00Z,-0.10840321498824815,0.09,0.19840321498824814,14_500
